"Add","Adăugare"
"Add gift message for shopping cart","Adăugare mesaj cadou pentru coș cumpărături"
"Add gift messages for quote item of shopping cart","Adăugare mesaje cadou pentru estimare articol coș cumpărături"
"Add gift messages to products of shopping cart","Adăugare mesaje cadou pentru produsele din coșul de cumpărături"
"Add gift options","Adăugare opțiuni cadou"
"Add gift options for Individual Items","Adăugare opțiuni cadou pentru Articole Individuale"
"Add gift options for the Entire Order","Adăugare opțiuni cadou pentru Întreaga Comandă"
"Add gift options.","Adăugare opțiuni cadou."
"Allow Gift Messages for Order Items","Acceptare Mesaje pt Cadouri Pentru Articolele Comenzii"
"Allow Gift Messages on Order Level","Acceptare Mesaje pt Cadouri la Nivel de Comandă"
"An error occurred while saving the gift message.","Eroare la salvarea mesajului de cadou."
"Are you sure?","Sunteți sigur?"
"Cancel","Anulare"
"Choose a gift card","Selectează felicitare"
"Do you have any gift items in your order?","Aveți vreun articol cadou pe comanda dvs.?"
"Edit","Modificare"
"Edit Your Gift Wrap ","Editează metoda de ambalare"
"Edit your wrapped items","Editează produsele supuse ambalării"
"Edit wrapped Qty. or Choose other items in cart for wrapping","Editează cantitatea produselor supuse ambalării sau alege alte produse pentru ambalare"
"From","De la"
"Gift Message","Mesaj de Cadou"
"Gift Message API","API Mesaj Cadou"
"Gift Options","Opțiuni Cadou"
"Gift Options for","Opțiuni Cadou pentru"
"Gift Options for Individual Items","Opțiuni Cadou pentru Articole Individuale"
"Gift Options for the Entire Order.","Opțiuni Cadou pentru Întreaga Comandă."
"Gift Options for this address.","Opțiuni Cadou pentru această adresă."
"Gift wrap was saved successfully.","Metoda de ambalare a fost salvată cu succes."
"Item %d of %d","Articolul %d din %d"
"Items in your gift wrap:","Produse supuse ambalarii"
"Message","Mesaj"
"No","Nu"
"No item for wrapping.","Nici un produs de ambalat."
"No paper to select","Nici o hartie disponibilă"
"OK","OK"
"Save Gift Message","Salvare Mesajul Cadou"
"Select wrapping","Selectează ambalaj"
"The gift message has been removed","Mesajul de cadou a fost eliminat"
"The gift message has been saved","Mesajul de cadou a fost salvat"
"The gift message has been saved.","Mesajul de cadou a fost salvat."
"To","Către"
"Unknown entity type","Tip entitate necunoscut."
"Use config","Folosire configurare"
"Qty to be wrapped","Cantitate produse de ambalat"
"Qty already wrapped / Total","Cantitate produse deja selectate spre ambalare / Total"
"Qty wrapped/Total","Cantitate produse spre ambalare / Total"
"Cannot save gift wrap because Qty. wrapped is larger than Qty. in cart.","Nu am putut face salvarea deoarece cantitatea cerută pentru produsul ales nu există în coșul dvs."
"Yes","Da"
"You can leave this box blank if you do not wish to add a gift message for the item.","Puteți lăsa această casetă goală dacă nu doriți să adăugați un mesaj de cadou pentru acest articol."
"You can leave this box blank if you do not wish to add a gift message for this address.","Puteți lăsa această casetă goală dacă nu doriți să adăugați un mesaj de cadou pentru această adresă."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Puteți lăsa această casetă goală dacă nu doriți să adăugați un mesaj de cadou pentru întreaga comandă."
